"34,35",577,34,1
"15,13,14",504,15,1
"25,24",606,25,1
"34,35,36,33",542,35,1
"14,15,13",521,14,1
"44,46,45,43",511,45,1
"35,34,33",14,33,1
"34,35",3,35,1
"5,4,3",15,3,1
15,18,15,1
"4,6,5,3",8,5,1
"44,45,43",16,45,1
23,1,23,1
"45,46,44",3,45,1
"42,43,44,45",4,44,1
"5,4",10,5,1
"24,25,23",3,25,1
"34,35,33",1,34,1
35,11,35,1
"4,5",20,5,1
"35,34,33",4,33,1
"15,14,16",20,15,1
"14,16",14,14,1
"25,24",3,24,1
"35,37,34",16,37,1
"5,6",7,6,1
"25,24",17,25,1
"15,12,14,16",10,16,1
"35,36,34,32",19,32,1
"33,35,34",3,34,1
"35,34",9,35,1
"4,5",7,5,1
"34,35",9,34,1
"4,5,2,6",12,5,1
"34,35",14,34,1
"44,45,43",6,45,1
"45,46,44",8,46,1
"5,4",13,5,1
"14,15,16",16,15,1
"23,25,24",1,24,1
"15,16,14",16,14,1
"45,44,43,46",14,44,1
"45,44,46",5,46,1
"5,4",10,4,1
"14,15",19,14,1
"5,4",13,5,1
5,18,5,1
"15,14,16",9,14,1
"34,36,35",14,36,1
"24,25,23",8,23,1
"14,15",20,15,1
"24,25,23",11,23,1
"44,45",15,44,1
"45,44,43",1,45,1
"14,15",1,14,1
"24,22,25,23",3,22,1
"24,25,26",4,26,1
"15,14,13,16",6,16,1
"25,24,23",20,23,1
"14,15,13",1,14,1
"25,24,26",12,24,1
"7,4,6,5",3,4,1
"24,25",15,25,1
"45,44,46",17,44,1
"44,45,43",8,43,1
"34,35,33",8,33,1
"35,34",17,35,1
"24,25,23,26",7,24,1
"5,4",11,5,1
"45,43,44",12,45,1
"33,34,36,35,32",7,35,1
"35,34,33",7,34,1
"24,23,25",20,24,1
"25,24,23,26",9,26,1
"25,24,26",17,26,1
"15,13,14,16,17",12,16,1
43,18,43,1
"35,34,36",13,36,1
"15,14,13",7,14,1
"34,33,35",2,35,1
"34,33,35,36",20,34,1
"44,45",14,45,1
"25,24",5,25,1
"34,35",13,34,1
"34,33,32",19,32,1
"34,33,35",14,34,1
"34,35",6,35,1
"4,5",10,5,1
5,16,5,1
"45,44",20,44,1
"4,5,6",17,6,1
"24,25",6,25,1
"4,5",11,4,1
"44,45",11,45,1
"34,35,33,36",2,35,1
"4,6,5",1,4,1
"4,5,3",17,3,1
"34,35",9,34,1
"4,5",10,5,1
"34,36,35",5,35,1
"14,15",15,14,1
"35,34",14,34,1
"44,45",6,45,1
"45,44",15,45,1
"5,4",2,5,1
"35,34",3,35,1
25,16,25,1
"15,14,16",10,15,1
"35,34",10,35,1
"34,35,37",17,37,1
"45,44",6,44,1
25,4,25,1
"5,4",14,5,1
"44,45,43",11,44,1
"15,14",12,15,1
"44,45,46",4,44,1
"4,5",18,5,1
"5,3",8,5,1
6,9,6,1
"24,25",12,24,1
"14,15",17,15,1
"13,15,14",17,13,1
"34,35",6,35,1
"4,5",17,5,1
"35,34,33",8,34,1
"25,24,26",10,25,1
"34,35",14,35,1
"43,44,46,45",4,45,1
35,8,35,1
"34,32",9,32,1
"15,14,16,13",16,16,1
"17,14,15,16",7,16,1
"4,5",14,5,1
"35,34,36",4,35,1
"26,25,24",15,25,1
"15,14",17,14,1
"15,14",15,14,1
"25,24,23",14,23,1
"5,4",11,5,1
"46,44,43,45",1,45,1
"23,24,25",12,24,1
"25,24",10,24,1
"14,15",20,15,1
"34,35",15,35,1
"45,44,43",20,43,1
"35,34,36",18,36,1
"44,45,46",9,46,1
35,18,35,1
"35,34,36,33",5,34,1
45,11,45,1
"45,44,43",13,44,1
4,18,4,1
"15,14",11,14,1
"35,34",1,34,1
"15,14,16",20,14,1
"34,35",11,34,1
"25,23,24",15,23,1
"45,44",18,44,1
"6,5,4",17,4,1
"45,44,43,46",11,43,1
15,16,15,1
"14,13,15",7,13,1
4,6,4,1
34,10,34,1
"23,24,25",6,24,1
