"15,13",213,13,1
"25,24,26",249,25,1
"15,14",221,14,1
"15,14,13",203,13,1
"34,35",240,35,1
"14,15,16",244,16,1
"24,25",18,24,1
"14,13,15",16,13,1
"23,24,26,25",2,23,1
"45,44",6,45,1
"24,25,26",16,24,1
"5,4",7,5,1
"44,43,45",3,43,1
"24,25,26",15,26,1
"45,46,44",16,44,1
"4,6,3,5",1,4,1
"4,5,6",17,6,1
"15,14,13",6,14,1
"34,35,33",18,34,1
"25,24",2,25,1
34,7,34,1
"15,14,13",3,15,1
"24,25",11,24,1
"16,15,14",2,16,1
44,11,44,1
35,19,35,1
"5,4,3",7,5,1
"14,15",14,15,1
"4,5,3",16,5,1
"5,4,6",15,5,1
"5,6,4",9,5,1
"15,14",12,14,1
"25,24",15,24,1
"45,44,43",11,44,1
"44,45",6,44,1
"34,35,33",2,34,1
"14,15,13",7,14,1
"4,5",14,4,1
"14,15,13",18,15,1
"45,44",12,45,1
"15,16,14",15,14,1
"44,45,43",10,44,1
"15,14",4,14,1
"13,15,14",17,13,1
"44,45,46",2,46,1
"25,24,26",3,25,1
"34,35,33",1,33,1
"25,24",18,25,1
15,3,15,1
"15,14",7,14,1
"3,4,5",14,4,1
"34,35",6,34,1
"45,44",5,44,1
"44,45",10,44,1
"4,5",1,4,1
"25,24,22",19,24,1
"34,33,35",10,33,1
"45,44,43",6,45,1
"45,44",17,45,1
"34,35",3,35,1
"44,46,45",12,45,1
"25,26,24",5,24,1
24,5,24,1
34,10,34,1
"44,46",17,46,1
"24,25",14,24,1
"35,34,33",10,35,1
"45,43,46,44",1,45,1
"15,14,12",10,12,1
"5,4",11,5,1
"34,35",2,34,1
"4,5,6",8,5,1
