"44,45,43,46",223,44,0.001
"25,24,26,23",207,23,0.001
"45,43,44,46",233,43,0.001
"14,15,16",202,16,0.001
"13,14,15,17",234,13,0.001
"25,24",225,24,0.001
"44,45,43",11,44,0.001
"4,5",9,5,0.001
"35,34,33",4,34,0.001
"24,25",19,24,0.001
"5,4",13,4,0.001
16,4,16,0.001
"45,43,47,44",17,43,0.001
"15,16,14",10,16,0.001
"44,45,43",13,45,0.001
"14,15",7,14,0.001
"44,45",12,44,0.001
"45,44,43",7,43,0.001
"26,24,25",5,24,0.001
"35,34,36",12,36,0.001
"45,44,43",4,43,0.001
"45,44,43",15,43,0.001
"25,24",19,25,0.001
"35,34,33",1,33,0.001
4,3,4,0.001
"14,12",10,14,0.001
"25,26,24",7,24,0.001
"25,24",11,24,0.001
"34,36,35",8,34,0.001
"15,14",20,14,0.001
35,20,35,0.001
"3,5,4",20,4,0.001
"5,4,3",7,3,0.001
"24,25,26",5,24,0.001
"35,33,34,36",3,36,0.001
"34,35",1,35,0.001
"35,34,33",12,35,0.001
"24,25",9,24,0.001
"25,23,24",16,25,0.001
"44,45",12,44,0.001
"24,25",17,24,0.001
"23,25,24",6,23,0.001
"6,5,4,3",4,5,0.001
"4,5,3",13,3,0.001
25,20,25,0.001
"14,13,15",9,15,0.001
"35,34",11,35,0.001
"35,34,36",20,35,0.001
"4,5",11,4,0.001
"15,14,13",14,14,0.001
"44,45,43",1,44,0.001
"24,25",16,25,0.001
34,13,34,0.001
4,19,4,0.001
"5,4,6",1,6,0.001
"15,14",13,15,0.001
"34,35",9,34,0.001
"14,13,15,16",8,16,0.001
"34,35,36",3,34,0.001
"4,5",2,4,0.001
"4,5,6",8,6,0.001
"5,4",9,4,0.001
"14,15,13,16",8,13,0.001
"25,24",7,25,0.001
"25,24,26",12,25,0.001
"24,23,25",14,23,0.001
"45,44",14,45,0.001
"4,5,3",13,5,0.001
"14,15",14,15,0.001
"45,44",12,45,0.001
"35,34",9,35,0.001
"45,44,46",0,46,0.001
